"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"27277598U","06:47:21","06:47:21","2720","33","","0","0","","0"
"27277599U","08:33:06","08:33:06","2720","33","","0","0","","0"
"27277600U","10:25:06","10:25:06","2720","33","","0","0","","0"
"27277601U","12:17:06","12:17:06","2720","33","","0","0","","0"
"27277602U","14:09:06","14:09:06","2720","33","","0","0","","0"
"27277603U","16:01:06","16:01:06","2720","33","","0","0","","0"
"27277604U","17:56:06","17:56:06","2720","33","","0","0","","0"
"27277605U","19:52:31","19:52:31","2720","33","","0","0","","0"
"27277606U","05:44:21","05:44:21","2720","33","","0","0","","0"
"27277607U","07:26:06","07:26:06","2720","33","","0","0","","0"
"27277608U","09:21:06","09:21:06","2720","33","","0","0","","0"
"27277609U","11:12:06","11:12:06","2720","33","","0","0","","0"
"27277610U","13:04:06","13:04:06","2720","33","","0","0","","0"
"27277611U","14:56:06","14:56:06","2720","33","","0","0","","0"
"27277612U","16:48:06","16:48:06","2720","33","","0","0","","0"
"27277613U","18:45:06","18:45:06","2720","33","","0","0","","0"
"27277614U","20:41:56","20:41:56","2720","33","","0","0","","0"
"27277634U","06:07:21","06:07:21","2720","33","","0","0","","0"
"27277635U","08:01:06","08:01:06","2720","33","","0","0","","0"
"27277636U","09:55:06","09:55:06","2720","33","","0","0","","0"
"27277637U","11:47:06","11:47:06","2720","33","","0","0","","0"
"27277638U","13:39:06","13:39:06","2720","33","","0","0","","0"
"27277639U","15:31:06","15:31:06","2720","33","","0","0","","0"
"27277640U","17:25:06","17:25:06","2720","33","","0","0","","0"
"27277641U","19:20:31","19:20:31","2720","33","","0","0","","0"
"27277653U","06:30:21","06:30:21","2720","33","","0","0","","0"
"27277654U","08:17:06","08:17:06","2720","33","","0","0","","0"
"27277655U","10:10:06","10:10:06","2720","33","","0","0","","0"
"27277656U","12:02:06","12:02:06","2720","33","","0","0","","0"
"27277657U","13:54:06","13:54:06","2720","33","","0","0","","0"
"27277658U","15:46:06","15:46:06","2720","33","","0","0","","0"
"27277659U","17:41:06","17:41:06","2720","33","","0","0","","0"
"27277660U","19:35:31","19:35:31","2720","33","","0","0","","0"
"27277661U","21:22:21","21:22:21","2720","33","","0","0","","0"
"27277662U","23:11:21","23:11:21","2720","33","","0","0","","0"
"27277663U","24:49:21","24:49:21","2720","33","","0","0","","0"
"27277664U","12:32:06","12:32:06","2720","33","","0","0","","0"
"27277665U","14:24:06","14:24:06","2720","33","","0","0","","0"
"27277666U","16:16:06","16:16:06","2720","33","","0","0","","0"
"27277667U","18:12:06","18:12:06","2720","33","","0","0","","0"
"27277668U","20:08:56","20:08:56","2720","33","","0","0","","0"
"27277669U","21:45:21","21:45:21","2720","33","","0","0","","0"
"27277679U","07:05:31","07:05:31","2720","33","","0","0","","0"
"27277680U","08:48:06","08:48:06","2720","33","","0","0","","0"
"27277681U","10:40:06","10:40:06","2720","33","","0","0","","0"
"27277682U","09:04:06","09:04:06","2720","33","","0","0","","0"
"27277683U","10:56:06","10:56:06","2720","33","","0","0","","0"
"27277684U","12:48:06","12:48:06","2720","33","","0","0","","0"
"27277685U","14:40:06","14:40:06","2720","33","","0","0","","0"
"27277686U","16:32:06","16:32:06","2720","33","","0","0","","0"
"27277687U","18:29:06","18:29:06","2720","33","","0","0","","0"
"27277688U","20:25:56","20:25:56","2720","33","","0","0","","0"
"27277689U","22:21:21","22:21:21","2720","33","","0","0","","0"
"27277690U","23:59:21","23:59:21","2720","33","","0","0","","0"
"27277701U","13:21:06","13:21:06","2720","33","","0","0","","0"
"27277702U","15:13:06","15:13:06","2720","33","","0","0","","0"
"27277703U","17:06:06","17:06:06","2720","33","","0","0","","0"
"27277704U","19:02:31","19:02:31","2720","33","","0","0","","0"
"27277705U","21:01:21","21:01:21","2720","33","","0","0","","0"
"27277706U","07:44:06","07:44:06","2720","33","","0","0","","0"
"27277707U","09:39:06","09:39:06","2720","33","","0","0","","0"
"27277708U","11:29:06","11:29:06","2720","33","","0","0","","0"
"27286167U","06:07:21","06:07:21","2720","33","","0","0","","0"
"27286168U","07:46:21","07:46:21","2720","33","","0","0","","0"
"27286169U","09:29:31","09:29:31","2720","33","","0","0","","0"
"27286170U","11:17:31","11:17:31","2720","33","","0","0","","0"
"27286171U","13:03:31","13:03:31","2720","33","","0","0","","0"
"27286172U","14:49:31","14:49:31","2720","33","","0","0","","0"
"27286173U","16:35:31","16:35:31","2720","33","","0","0","","0"
"27286174U","18:21:31","18:21:31","2720","33","","0","0","","0"
"27286175U","20:16:21","20:16:21","2720","33","","0","0","","0"
"27286185U","06:30:21","06:30:21","2720","33","","0","0","","0"
"27286186U","08:02:56","08:02:56","2720","33","","0","0","","0"
"27286187U","09:45:31","09:45:31","2720","33","","0","0","","0"
"27286188U","11:32:31","11:32:31","2720","33","","0","0","","0"
"27286189U","13:18:31","13:18:31","2720","33","","0","0","","0"
"27286190U","15:04:31","15:04:31","2720","33","","0","0","","0"
"27286191U","16:50:31","16:50:31","2720","33","","0","0","","0"
"27286192U","18:36:31","18:36:31","2720","33","","0","0","","0"
"27286196U","08:16:56","08:16:56","2720","33","","0","0","","0"
"27286197U","10:01:31","10:01:31","2720","33","","0","0","","0"
"27286198U","11:47:31","11:47:31","2720","33","","0","0","","0"
"27286199U","13:33:31","13:33:31","2720","33","","0","0","","0"
"27286200U","15:19:31","15:19:31","2720","33","","0","0","","0"
"27286201U","17:05:31","17:05:31","2720","33","","0","0","","0"
"27286202U","18:51:31","18:51:31","2720","33","","0","0","","0"
"27286203U","20:33:21","20:33:21","2720","33","","0","0","","0"
"27286204U","22:21:21","22:21:21","2720","33","","0","0","","0"
"27286205U","23:59:21","23:59:21","2720","33","","0","0","","0"
"27286225U","07:01:21","07:01:21","2720","33","","0","0","","0"
"27286226U","08:44:56","08:44:56","2720","33","","0","0","","0"
"27286227U","10:32:31","10:32:31","2720","33","","0","0","","0"
"27286228U","12:18:31","12:18:31","2720","33","","0","0","","0"
"27286229U","14:04:31","14:04:31","2720","33","","0","0","","0"
"27286230U","15:50:31","15:50:31","2720","33","","0","0","","0"
"27286231U","17:36:31","17:36:31","2720","33","","0","0","","0"
"27286232U","19:22:31","19:22:31","2720","33","","0","0","","0"
"27286233U","21:15:21","21:15:21","2720","33","","0","0","","0"
"27286234U","23:11:21","23:11:21","2720","33","","0","0","","0"
"27286235U","24:49:21","24:49:21","2720","33","","0","0","","0"
"27286245U","07:31:21","07:31:21","2720","33","","0","0","","0"
"27286246U","09:13:31","09:13:31","2720","33","","0","0","","0"
"27286247U","11:02:31","11:02:31","2720","33","","0","0","","0"
"27286248U","12:48:31","12:48:31","2720","33","","0","0","","0"
"27286249U","14:34:31","14:34:31","2720","33","","0","0","","0"
"27286250U","16:20:31","16:20:31","2720","33","","0","0","","0"
"27286251U","18:06:31","18:06:31","2720","33","","0","0","","0"
"27286252U","19:58:56","19:58:56","2720","33","","0","0","","0"
"27286253U","21:45:21","21:45:21","2720","33","","0","0","","0"
"27286254U","06:46:21","06:46:21","2720","33","","0","0","","0"
"27286255U","08:31:56","08:31:56","2720","33","","0","0","","0"
"27286256U","10:16:31","10:16:31","2720","33","","0","0","","0"
"27286265U","12:02:31","12:02:31","2720","33","","0","0","","0"
"27286266U","13:48:31","13:48:31","2720","33","","0","0","","0"
"27286267U","15:34:31","15:34:31","2720","33","","0","0","","0"
"27286268U","17:20:31","17:20:31","2720","33","","0","0","","0"
"27286269U","19:06:31","19:06:31","2720","33","","0","0","","0"
"27286270U","20:51:21","20:51:21","2720","33","","0","0","","0"
"27286280U","08:57:56","08:57:56","2720","33","","0","0","","0"
"27286281U","10:47:31","10:47:31","2720","33","","0","0","","0"
"27286282U","12:33:31","12:33:31","2720","33","","0","0","","0"
"27286283U","14:19:31","14:19:31","2720","33","","0","0","","0"
"27286284U","16:05:31","16:05:31","2720","33","","0","0","","0"
"27286285U","17:51:31","17:51:31","2720","33","","0","0","","0"
"27286286U","19:41:31","19:41:31","2720","33","","0","0","","0"
"27286287U","05:44:21","05:44:21","2720","33","","0","0","","0"
"27286288U","07:16:21","07:16:21","2720","33","","0","0","","0"
"27327764U","06:07:21","06:07:21","2720","33","","0","0","","0"
"27327765U","08:00:06","08:00:06","2720","33","","0","0","","0"
"27327777U","06:30:21","06:30:21","2720","33","","0","0","","0"
"27327778U","08:21:06","08:21:06","2720","33","","0","0","","0"
"27327779U","10:21:06","10:21:06","2720","33","","0","0","","0"
"27327780U","12:12:06","12:12:06","2720","33","","0","0","","0"
"27327781U","14:02:06","14:02:06","2720","33","","0","0","","0"
"27327782U","16:01:06","16:01:06","2720","33","","0","0","","0"
"27327783U","18:10:16","18:10:16","2720","33","","0","0","","0"
"27327784U","20:06:56","20:06:56","2720","33","","0","0","","0"
"27327793U","08:55:06","08:55:06","2720","33","","0","0","","0"
"27327794U","10:50:06","10:50:06","2720","33","","0","0","","0"
"27327795U","12:40:06","12:40:06","2720","33","","0","0","","0"
"27327796U","14:31:06","14:31:06","2720","33","","0","0","","0"
"27327797U","16:31:41","16:31:41","2720","33","","0","0","","0"
"27327798U","18:37:16","18:37:16","2720","33","","0","0","","0"
"27327799U","20:23:56","20:23:56","2720","33","","0","0","","0"
"27327812U","07:05:31","07:05:31","2720","33","","0","0","","0"
"27327813U","09:06:06","09:06:06","2720","33","","0","0","","0"
"27327814U","11:04:06","11:04:06","2720","33","","0","0","","0"
"27327815U","12:54:06","12:54:06","2720","33","","0","0","","0"
"27327816U","14:46:06","14:46:06","2720","33","","0","0","","0"
"27327817U","16:47:16","16:47:16","2720","33","","0","0","","0"
"27327818U","18:51:16","18:51:16","2720","33","","0","0","","0"
"27327819U","20:39:56","20:39:56","2720","33","","0","0","","0"
"27327820U","22:21:21","22:21:21","2720","33","","0","0","","0"
"27327821U","23:59:21","23:59:21","2720","33","","0","0","","0"
"27327830U","09:17:06","09:17:06","2720","33","","0","0","","0"
"27327831U","11:18:06","11:18:06","2720","33","","0","0","","0"
"27327832U","13:08:06","13:08:06","2720","33","","0","0","","0"
"27327833U","15:01:06","15:01:06","2720","33","","0","0","","0"
"27327834U","17:01:16","17:01:16","2720","33","","0","0","","0"
"27327835U","19:04:06","19:04:06","2720","33","","0","0","","0"
"27327844U","07:40:06","07:40:06","2720","33","","0","0","","0"
"27327845U","09:39:06","09:39:06","2720","33","","0","0","","0"
"27327846U","11:31:06","11:31:06","2720","33","","0","0","","0"
"27327847U","13:21:06","13:21:06","2720","33","","0","0","","0"
"27327848U","15:16:06","15:16:06","2720","33","","0","0","","0"
"27327849U","17:15:16","17:15:16","2720","33","","0","0","","0"
"27327850U","19:16:31","19:16:31","2720","33","","0","0","","0"
"27327858U","08:10:06","08:10:06","2720","33","","0","0","","0"
"27327859U","10:07:06","10:07:06","2720","33","","0","0","","0"
"27327860U","11:58:06","11:58:06","2720","33","","0","0","","0"
"27327861U","13:48:06","13:48:06","2720","33","","0","0","","0"
"27327862U","15:46:06","15:46:06","2720","33","","0","0","","0"
"27327863U","17:56:16","17:56:16","2720","33","","0","0","","0"
"27327864U","19:53:31","19:53:31","2720","33","","0","0","","0"
"27327868U","08:32:06","08:32:06","2720","33","","0","0","","0"
"27327878U","06:48:21","06:48:21","2720","33","","0","0","","0"
"27327879U","08:43:06","08:43:06","2720","33","","0","0","","0"
"27327880U","10:36:06","10:36:06","2720","33","","0","0","","0"
"27327881U","12:26:06","12:26:06","2720","33","","0","0","","0"
"27327882U","14:16:06","14:16:06","2720","33","","0","0","","0"
"27327883U","16:16:06","16:16:06","2720","33","","0","0","","0"
"27327884U","18:23:16","18:23:16","2720","33","","0","0","","0"
"27327889U","05:44:21","05:44:21","2720","33","","0","0","","0"
"27327890U","07:23:06","07:23:06","2720","33","","0","0","","0"
"27327891U","09:27:06","09:27:06","2720","33","","0","0","","0"
"27327892U","21:08:21","21:08:21","2720","33","","0","0","","0"
"27327896U","17:31:16","17:31:16","2720","33","","0","0","","0"
"27327897U","19:27:31","19:27:31","2720","33","","0","0","","0"
"27327907U","07:50:06","07:50:06","2720","33","","0","0","","0"
"27327908U","09:53:06","09:53:06","2720","33","","0","0","","0"
"27327909U","11:45:06","11:45:06","2720","33","","0","0","","0"
"27327910U","13:35:06","13:35:06","2720","33","","0","0","","0"
"27327911U","15:31:06","15:31:06","2720","33","","0","0","","0"
"27327912U","17:43:16","17:43:16","2720","33","","0","0","","0"
"27327913U","19:39:31","19:39:31","2720","33","","0","0","","0"
"27327914U","21:31:21","21:31:21","2720","33","","0","0","","0"
"27327915U","23:11:21","23:11:21","2720","33","","0","0","","0"
"27327916U","24:49:21","24:49:21","2720","33","","0","0","","0"
"27337629U","06:07:21","06:07:21","2720","33","","0","0","","0"
"27337630U","07:46:21","07:46:21","2720","33","","0","0","","0"
"27337631U","09:29:31","09:29:31","2720","33","","0","0","","0"
"27337632U","11:17:31","11:17:31","2720","33","","0","0","","0"
"27337633U","13:03:31","13:03:31","2720","33","","0","0","","0"
"27337634U","14:49:31","14:49:31","2720","33","","0","0","","0"
"27337635U","16:35:31","16:35:31","2720","33","","0","0","","0"
"27337636U","18:21:31","18:21:31","2720","33","","0","0","","0"
"27337637U","20:16:21","20:16:21","2720","33","","0","0","","0"
"27337647U","06:30:21","06:30:21","2720","33","","0","0","","0"
"27337648U","08:02:56","08:02:56","2720","33","","0","0","","0"
"27337649U","09:45:31","09:45:31","2720","33","","0","0","","0"
"27337650U","11:32:31","11:32:31","2720","33","","0","0","","0"
"27337651U","13:18:31","13:18:31","2720","33","","0","0","","0"
"27337652U","15:04:31","15:04:31","2720","33","","0","0","","0"
"27337653U","16:50:31","16:50:31","2720","33","","0","0","","0"
"27337654U","18:36:31","18:36:31","2720","33","","0","0","","0"
"27337666U","08:16:56","08:16:56","2720","33","","0","0","","0"
"27337667U","10:01:31","10:01:31","2720","33","","0","0","","0"
