"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"27294736U","06:59:55","06:59:55","3448","23","","0","0","","0"
"27294737U","08:20:55","08:20:55","3448","23","","0","0","","0"
"27294738U","09:42:55","09:42:55","3448","23","","0","0","","0"
"27294739U","11:06:55","11:06:55","3448","23","","0","0","","0"
"27294740U","12:30:22","12:30:22","3448","23","","0","0","","0"
"27294741U","13:52:22","13:52:22","3448","23","","0","0","","0"
"27294756U","13:12:22","13:12:22","3448","23","","0","0","","0"
"27294757U","14:37:29","14:37:29","3448","23","","0","0","","0"
"27294758U","16:09:29","16:09:29","3448","23","","0","0","","0"
"27294759U","17:41:29","17:41:29","3448","23","","0","0","","0"
"27294760U","19:13:29","19:13:29","3448","23","","0","0","","0"
"27294761U","20:41:29","20:41:29","3448","23","","0","0","","0"
"27294764U","06:18:55","06:18:55","3448","23","","0","0","","0"
"27294765U","07:39:55","07:39:55","3448","23","","0","0","","0"
"27294766U","09:00:55","09:00:55","3448","23","","0","0","","0"
"27294767U","10:24:55","10:24:55","3448","23","","0","0","","0"
"27294768U","11:48:55","11:48:55","3448","23","","0","0","","0"
"27294776U","15:22:29","15:22:29","3448","23","","0","0","","0"
"27294777U","16:54:29","16:54:29","3448","23","","0","0","","0"
"27294778U","18:26:29","18:26:29","3448","23","","0","0","","0"
"27294779U","19:58:29","19:58:29","3448","23","","0","0","","0"
"27347032U","08:22:55","08:22:55","3448","23","","0","0","","0"
"27347033U","09:45:55","09:45:55","3448","23","","0","0","","0"
"27347034U","11:08:55","11:08:55","3448","23","","0","0","","0"
"27347035U","12:31:55","12:31:55","3448","23","","0","0","","0"
"27347037U","06:59:29","06:59:29","3448","23","","0","0","","0"
"27347044U","13:12:55","13:12:55","3448","23","","0","0","","0"
"27347045U","14:37:29","14:37:29","3448","23","","0","0","","0"
"27347046U","16:07:29","16:07:29","3448","23","","0","0","","0"
"27347047U","17:37:29","17:37:29","3448","23","","0","0","","0"
"27347048U","19:07:29","19:07:29","3448","23","","0","0","","0"
"27347056U","06:19:29","06:19:29","3448","23","","0","0","","0"
"27347057U","07:40:55","07:40:55","3448","23","","0","0","","0"
"27347058U","09:03:55","09:03:55","3448","23","","0","0","","0"
"27347059U","10:26:55","10:26:55","3448","23","","0","0","","0"
"27347060U","11:49:55","11:49:55","3448","23","","0","0","","0"
"27347065U","13:39:55","13:39:55","3448","23","","0","0","","0"
"27347066U","15:07:29","15:07:29","3448","23","","0","0","","0"
"27347067U","16:37:29","16:37:29","3448","23","","0","0","","0"
"27347068U","18:07:29","18:07:29","3448","23","","0","0","","0"
"27347069U","19:37:29","19:37:29","3448","23","","0","0","","0"
"27347075U","14:06:29","14:06:29","3448","23","","0","0","","0"
"27347076U","15:37:29","15:37:29","3448","23","","0","0","","0"
"27347077U","17:07:29","17:07:29","3448","23","","0","0","","0"
"27347078U","18:37:29","18:37:29","3448","23","","0","0","","0"
"27347079U","20:19:29","20:19:29","3448","23","","0","0","","0"
"27310502U","06:30:29","06:30:29","3448","31","","0","0","","0"
"27310503U","08:23:29","08:23:29","3448","31","","0","0","","0"
"27310504U","10:30:29","10:30:29","3448","31","","0","0","","0"
"27310505U","12:19:29","12:19:29","3448","31","","0","0","","0"
"27310508U","06:58:29","06:58:29","3448","31","","0","0","","0"
"27310509U","08:50:29","08:50:29","3448","31","","0","0","","0"
"27310514U","05:24:29","05:24:29","3448","31","","0","0","","0"
"27310515U","07:27:29","07:27:29","3448","31","","0","0","","0"
"27310516U","09:18:29","09:18:29","3448","31","","0","0","","0"
"27310517U","11:07:29","11:07:29","3448","31","","0","0","","0"
"27310523U","12:56:29","12:56:29","3448","31","","0","0","","0"
"27310524U","14:45:29","14:45:29","3448","31","","0","0","","0"
"27310525U","16:38:02","16:38:02","3448","31","","0","0","","0"
"27310526U","18:31:02","18:31:02","3448","31","","0","0","","0"
"27310527U","20:19:29","20:19:29","3448","31","","0","0","","0"
"27310532U","13:32:29","13:32:29","3448","31","","0","0","","0"
"27310533U","15:23:02","15:23:02","3448","31","","0","0","","0"
"27310534U","17:16:02","17:16:02","3448","31","","0","0","","0"
"27310535U","19:08:29","19:08:29","3448","31","","0","0","","0"
"27310536U","20:54:29","20:54:29","3448","31","","0","0","","0"
"27310541U","14:08:29","14:08:29","3448","31","","0","0","","0"
"27310542U","16:01:02","16:01:02","3448","31","","0","0","","0"
"27310543U","17:54:02","17:54:02","3448","31","","0","0","","0"
"27310544U","19:44:29","19:44:29","3448","31","","0","0","","0"
"27310549U","11:43:29","11:43:29","3448","31","","0","0","","0"
"27310550U","05:57:29","05:57:29","3448","31","","0","0","","0"
"27310551U","07:55:29","07:55:29","3448","31","","0","0","","0"
"27310552U","09:54:29","09:54:29","3448","31","","0","0","","0"
"27310831U","06:27:55","06:27:55","3448","31","","0","0","","0"
"27310832U","08:11:29","08:11:29","3448","31","","0","0","","0"
"27310833U","09:59:29","09:59:29","3448","31","","0","0","","0"
"27310834U","11:49:29","11:49:29","3448","31","","0","0","","0"
"27310839U","05:21:55","05:21:55","3448","31","","0","0","","0"
"27310840U","07:01:29","07:01:29","3448","31","","0","0","","0"
"27310841U","08:45:29","08:45:29","3448","31","","0","0","","0"
"27310842U","10:35:29","10:35:29","3448","31","","0","0","","0"
"27310847U","05:54:55","05:54:55","3448","31","","0","0","","0"
"27310848U","07:30:29","07:30:29","3448","31","","0","0","","0"
"27310849U","09:21:29","09:21:29","3448","31","","0","0","","0"
"27310850U","11:12:29","11:12:29","3448","31","","0","0","","0"
"27310855U","13:38:29","13:38:29","3448","31","","0","0","","0"
"27310856U","15:33:02","15:33:02","3448","31","","0","0","","0"
"27310857U","17:26:02","17:26:02","3448","31","","0","0","","0"
"27310858U","19:19:02","19:19:02","3448","31","","0","0","","0"
"27310859U","21:05:29","21:05:29","3448","31","","0","0","","0"
"27310865U","12:24:29","12:24:29","3448","31","","0","0","","0"
"27310866U","14:15:29","14:15:29","3448","31","","0","0","","0"
"27310867U","16:10:02","16:10:02","3448","31","","0","0","","0"
"27310868U","18:04:02","18:04:02","3448","31","","0","0","","0"
"27310869U","19:56:02","19:56:02","3448","31","","0","0","","0"
"27310875U","13:01:29","13:01:29","3448","31","","0","0","","0"
"27310876U","14:52:29","14:52:29","3448","31","","0","0","","0"
"27310877U","16:48:02","16:48:02","3448","31","","0","0","","0"
"27310878U","18:42:02","18:42:02","3448","31","","0","0","","0"
"27310879U","20:32:29","20:32:29","3448","31","","0","0","","0"
"27329402U","06:24:29","06:24:29","3448","31","","0","0","","0"
"27329403U","08:14:02","08:14:02","3448","31","","0","0","","0"
"27329408U","16:55:02","16:55:02","3448","31","","0","0","","0"
"27329409U","18:55:02","18:55:02","3448","31","","0","0","","0"
"27329410U","20:34:29","20:34:29","3448","31","","0","0","","0"
"27329417U","06:39:29","06:39:29","3448","31","","0","0","","0"
"27329418U","08:30:02","08:30:02","3448","31","","0","0","","0"
"27329419U","10:20:02","10:20:02","3448","31","","0","0","","0"
"27329420U","12:04:02","12:04:02","3448","31","","0","0","","0"
"27329421U","14:05:02","14:05:02","3448","31","","0","0","","0"
"27329422U","15:55:02","15:55:02","3448","31","","0","0","","0"
"27329425U","06:53:29","06:53:29","3448","31","","0","0","","0"
"27329426U","08:46:02","08:46:02","3448","31","","0","0","","0"
"27329433U","05:34:29","05:34:29","3448","31","","0","0","","0"
"27329434U","07:07:02","07:07:02","3448","31","","0","0","","0"
"27329435U","09:02:02","09:02:02","3448","31","","0","0","","0"
"27329436U","10:46:02","10:46:02","3448","31","","0","0","","0"
"27329437U","12:36:02","12:36:02","3448","31","","0","0","","0"
"27329438U","14:35:02","14:35:02","3448","31","","0","0","","0"
"27329443U","07:25:02","07:25:02","3448","31","","0","0","","0"
"27329444U","09:17:02","09:17:02","3448","31","","0","0","","0"
"27329445U","11:12:02","11:12:02","3448","31","","0","0","","0"
"27329446U","13:03:02","13:03:02","3448","31","","0","0","","0"
"27329447U","14:55:02","14:55:02","3448","31","","0","0","","0"
"27329451U","05:54:29","05:54:29","3448","31","","0","0","","0"
"27329452U","07:42:02","07:42:02","3448","31","","0","0","","0"
"27329453U","09:34:02","09:34:02","3448","31","","0","0","","0"
"27329458U","07:58:02","07:58:02","3448","31","","0","0","","0"
"27329459U","09:54:02","09:54:02","3448","31","","0","0","","0"
"27329460U","11:38:02","11:38:02","3448","31","","0","0","","0"
"27329461U","13:37:02","13:37:02","3448","31","","0","0","","0"
"27329465U","16:26:02","16:26:02","3448","31","","0","0","","0"
"27329466U","18:25:02","18:25:02","3448","31","","0","0","","0"
"27329467U","20:12:29","20:12:29","3448","31","","0","0","","0"
"27329470U","17:55:02","17:55:02","3448","31","","0","0","","0"
"27329471U","19:45:02","19:45:02","3448","31","","0","0","","0"
"27329475U","19:19:02","19:19:02","3448","31","","0","0","","0"
"27329476U","15:25:02","15:25:02","3448","31","","0","0","","0"
"27329477U","17:25:02","17:25:02","3448","31","","0","0","","0"
"27339247U","06:24:29","06:24:29","3448","31","","0","0","","0"
"27339248U","07:56:29","07:56:29","3448","31","","0","0","","0"
"27339249U","09:50:02","09:50:02","3448","31","","0","0","","0"
"27339252U","06:46:29","06:46:29","3448","31","","0","0","","0"
"27339253U","08:20:29","08:20:29","3448","31","","0","0","","0"
"27339256U","05:24:29","05:24:29","3448","31","","0","0","","0"
"27339257U","07:09:29","07:09:29","3448","31","","0","0","","0"
"27339265U","05:54:29","05:54:29","3448","31","","0","0","","0"
"27339266U","07:32:29","07:32:29","3448","31","","0","0","","0"
"27339267U","09:14:02","09:14:02","3448","31","","0","0","","0"
"27339268U","10:58:02","10:58:02","3448","31","","0","0","","0"
"27339269U","12:39:02","12:39:02","3448","31","","0","0","","0"
"27339270U","14:20:02","14:20:02","3448","31","","0","0","","0"
"27339271U","16:00:02","16:00:02","3448","31","","0","0","","0"
"27339275U","16:30:02","16:30:02","3448","31","","0","0","","0"
"27339276U","18:19:02","18:19:02","3448","31","","0","0","","0"
"27339277U","20:04:29","20:04:29","3448","31","","0","0","","0"
"27339284U","11:32:02","11:32:02","3448","31","","0","0","","0"
"27339285U","13:13:02","13:13:02","3448","31","","0","0","","0"
"27339286U","14:53:02","14:53:02","3448","31","","0","0","","0"
"27339287U","16:57:02","16:57:02","3448","31","","0","0","","0"
"27339288U","18:46:02","18:46:02","3448","31","","0","0","","0"
"27339289U","20:30:29","20:30:29","3448","31","","0","0","","0"
"27339297U","08:44:29","08:44:29","3448","31","","0","0","","0"
"27339298U","12:06:02","12:06:02","3448","31","","0","0","","0"
"27339299U","13:47:02","13:47:02","3448","31","","0","0","","0"
"27339300U","19:13:02","19:13:02","3448","31","","0","0","","0"
"27339301U","15:27:02","15:27:02","3448","31","","0","0","","0"
"27339302U","17:24:02","17:24:02","3448","31","","0","0","","0"
"27339303U","10:24:02","10:24:02","3448","31","","0","0","","0"
"27339306U","17:51:02","17:51:02","3448","31","","0","0","","0"
"27339307U","19:39:02","19:39:02","3448","31","","0","0","","0"
"27356148U","06:24:29","06:24:29","3448","31","","0","0","","0"
"27356149U","07:56:29","07:56:29","3448","31","","0","0","","0"
"27356150U","09:50:02","09:50:02","3448","31","","0","0","","0"
"27356153U","06:46:29","06:46:29","3448","31","","0","0","","0"
"27356154U","08:20:29","08:20:29","3448","31","","0","0","","0"
"27356157U","05:24:29","05:24:29","3448","31","","0","0","","0"
"27356158U","07:09:29","07:09:29","3448","31","","0","0","","0"
"27356166U","05:54:29","05:54:29","3448","31","","0","0","","0"
"27356167U","07:32:29","07:32:29","3448","31","","0","0","","0"
"27356168U","09:14:02","09:14:02","3448","31","","0","0","","0"
"27356169U","10:58:02","10:58:02","3448","31","","0","0","","0"
"27356170U","12:39:02","12:39:02","3448","31","","0","0","","0"
"27356171U","14:20:02","14:20:02","3448","31","","0","0","","0"
"27356172U","16:00:02","16:00:02","3448","31","","0","0","","0"
"27356176U","16:30:02","16:30:02","3448","31","","0","0","","0"
"27356177U","18:19:02","18:19:02","3448","31","","0","0","","0"
"27356178U","20:04:29","20:04:29","3448","31","","0","0","","0"
"27356185U","11:32:02","11:32:02","3448","31","","0","0","","0"
"27356186U","13:13:02","13:13:02","3448","31","","0","0","","0"
"27356187U","14:53:02","14:53:02","3448","31","","0","0","","0"
"27356188U","16:57:02","16:57:02","3448","31","","0","0","","0"
"27356189U","18:46:02","18:46:02","3448","31","","0","0","","0"
"27356190U","20:30:29","20:30:29","3448","31","","0","0","","0"
"27356198U","08:44:29","08:44:29","3448","31","","0","0","","0"
