"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"27282835U","07:02:05","07:02:05","3217","4","","0","0","","0"
"27282836U","08:02:05","08:02:05","3217","4","","0","0","","0"
"27282837U","09:02:05","09:02:05","3217","4","","0","0","","0"
"27282838U","10:02:05","10:02:05","3217","4","","0","0","","0"
"27282839U","11:02:05","11:02:05","3217","4","","0","0","","0"
"27282840U","12:02:05","12:02:05","3217","4","","0","0","","0"
"27282841U","13:02:05","13:02:05","3217","4","","0","0","","0"
"27282842U","14:02:05","14:02:05","3217","4","","0","0","","0"
"27282843U","15:02:05","15:02:05","3217","4","","0","0","","0"
"27282844U","16:02:05","16:02:05","3217","4","","0","0","","0"
"27282845U","17:02:05","17:02:05","3217","4","","0","0","","0"
"27282846U","18:02:05","18:02:05","3217","4","","0","0","","0"
"27291147U","07:02:05","07:02:05","3217","4","","0","0","","0"
"27291148U","08:02:05","08:02:05","3217","4","","0","0","","0"
"27291149U","09:02:05","09:02:05","3217","4","","0","0","","0"
"27291150U","10:02:05","10:02:05","3217","4","","0","0","","0"
"27291151U","11:02:05","11:02:05","3217","4","","0","0","","0"
"27291152U","12:02:05","12:02:05","3217","4","","0","0","","0"
"27291153U","13:02:05","13:02:05","3217","4","","0","0","","0"
"27291154U","14:02:05","14:02:05","3217","4","","0","0","","0"
"27291155U","15:02:05","15:02:05","3217","4","","0","0","","0"
"27291156U","16:02:05","16:02:05","3217","4","","0","0","","0"
"27291157U","17:02:05","17:02:05","3217","4","","0","0","","0"
"27291158U","18:02:05","18:02:05","3217","4","","0","0","","0"
"27333886U","07:02:05","07:02:05","3217","4","","0","0","","0"
"27333887U","08:02:05","08:02:05","3217","4","","0","0","","0"
"27333888U","09:02:05","09:02:05","3217","4","","0","0","","0"
"27333889U","10:02:05","10:02:05","3217","4","","0","0","","0"
"27333890U","11:02:05","11:02:05","3217","4","","0","0","","0"
"27333891U","12:02:05","12:02:05","3217","4","","0","0","","0"
"27333892U","13:02:05","13:02:05","3217","4","","0","0","","0"
"27333893U","14:02:05","14:02:05","3217","4","","0","0","","0"
"27333894U","15:02:05","15:02:05","3217","4","","0","0","","0"
"27333895U","16:02:05","16:02:05","3217","4","","0","0","","0"
"27333896U","17:02:05","17:02:05","3217","4","","0","0","","0"
"27333897U","18:02:05","18:02:05","3217","4","","0","0","","0"
"27343189U","07:02:05","07:02:05","3217","4","","0","0","","0"
"27343190U","08:02:05","08:02:05","3217","4","","0","0","","0"
"27343191U","09:02:05","09:02:05","3217","4","","0","0","","0"
"27343192U","10:02:05","10:02:05","3217","4","","0","0","","0"
"27343193U","11:02:05","11:02:05","3217","4","","0","0","","0"
"27343194U","12:02:05","12:02:05","3217","4","","0","0","","0"
"27343195U","13:02:05","13:02:05","3217","4","","0","0","","0"
"27343196U","14:02:05","14:02:05","3217","4","","0","0","","0"
"27343197U","15:02:05","15:02:05","3217","4","","0","0","","0"
"27343198U","16:02:05","16:02:05","3217","4","","0","0","","0"
"27343199U","17:02:05","17:02:05","3217","4","","0","0","","0"
"27343200U","18:02:05","18:02:05","3217","4","","0","0","","0"
"27360096U","07:02:05","07:02:05","3217","4","","0","0","","0"
"27360097U","08:02:05","08:02:05","3217","4","","0","0","","0"
"27360098U","09:02:05","09:02:05","3217","4","","0","0","","0"
"27360099U","10:02:05","10:02:05","3217","4","","0","0","","0"
"27360100U","11:02:05","11:02:05","3217","4","","0","0","","0"
"27360101U","12:02:05","12:02:05","3217","4","","0","0","","0"
"27360102U","13:02:05","13:02:05","3217","4","","0","0","","0"
"27360103U","14:02:05","14:02:05","3217","4","","0","0","","0"
"27360104U","15:02:05","15:02:05","3217","4","","0","0","","0"
"27360105U","16:02:05","16:02:05","3217","4","","0","0","","0"
"27360106U","17:02:05","17:02:05","3217","4","","0","0","","0"
"27360107U","18:02:05","18:02:05","3217","4","","0","0","","0"
