"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"1949629E","11:28:34","11:28:34","5228","38","","0","0","","0"
"1949632E","20:28:34","20:28:34","5228","38","","0","0","","0"
"1949828E","18:28:34","18:28:34","5228","38","","0","0","","0"
"1949829E","11:28:34","11:28:34","5228","38","","0","0","","0"
"1950021E","14:28:34","14:28:34","5228","38","","0","0","","0"
"1950024E","07:06:34","07:06:34","5228","38","","0","0","","0"
"1950237E","11:28:34","11:28:34","5228","38","","0","0","","0"
"1950238E","18:28:34","18:28:34","5228","38","","0","0","","0"
"1950676E","09:28:34","09:28:34","5228","38","","0","0","","0"
"1950677E","11:28:34","11:28:34","5228","38","","0","0","","0"
"1950678E","14:28:34","14:28:34","5228","38","","0","0","","0"
"1950679E","20:28:34","20:28:34","5228","38","","0","0","","0"
"1951143E","08:28:34","08:28:34","5228","38","","0","0","","0"
"1951166E","14:48:34","14:48:34","5228","38","","0","0","","0"
"1951167E","07:28:34","07:28:34","5228","38","","0","0","","0"
"1951891E","09:28:34","09:28:34","5228","38","","0","0","","0"
"1951893E","13:28:34","13:28:34","5228","38","","0","0","","0"
"1951894E","15:28:34","15:28:34","5228","38","","0","0","","0"
"1951895E","19:58:34","19:58:34","5228","38","","0","0","","0"
"1952289E","17:58:34","17:58:34","5228","38","","0","0","","0"
"1952434E","08:28:34","08:28:34","5228","38","","0","0","","0"
"1952436E","17:58:34","17:58:34","5228","38","","0","0","","0"
"1952700E","18:58:34","18:58:34","5228","38","","0","0","","0"
"1951931E","14:58:35","14:58:35","5228","19","","0","0","","0"
"1949882E","17:08:35","17:08:35","5228","28","","0","0","","0"
"1949883E","19:08:35","19:08:35","5228","28","","0","0","","0"
"1949884E","20:38:35","20:38:35","5228","28","","0","0","","0"
"1950094E","14:18:35","14:18:35","5228","28","","0","0","","0"
"1950095E","18:08:35","18:08:35","5228","28","","0","0","","0"
"1950096E","18:38:35","18:38:35","5228","28","","0","0","","0"
"1950097E","19:48:35","19:48:35","5228","28","","0","0","","0"
"1951140E","15:18:35","15:18:35","5228","28","","0","0","","0"
"1951142E","13:08:35","13:08:35","5228","28","","0","0","","0"
"1951930E","16:08:35","16:08:35","5228","28","","0","0","","0"
"1952430E","15:18:35","15:18:35","5228","28","","0","0","","0"
"1952433E","13:08:35","13:08:35","5228","28","","0","0","","0"
"1949875E","09:26:37","09:26:37","5228","9","","0","0","","0"
"1950089E","06:56:37","06:56:37","5228","9","","0","0","","0"
"1950090E","10:56:37","10:56:37","5228","9","","0","0","","0"
"1950120E","05:53:56","05:53:56","5228","9","","0","0","","0"
"1951139E","07:26:37","07:26:37","5228","9","","0","0","","0"
"1951141E","06:26:37","06:26:37","5228","9","","0","0","","0"
"1951927E","06:41:37","06:41:37","5228","9","","0","0","","0"
"1951928E","07:36:37","07:36:37","5228","9","","0","0","","0"
"1952429E","07:26:37","07:26:37","5228","9","","0","0","","0"
"1952432E","06:26:37","06:26:37","5228","9","","0","0","","0"
"1950092E","08:26:37","08:26:37","5228","9","","0","0","","0"
