"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"27321136U","09:16:00","09:16:00","804","9","","0","0","","1"
"27321137U","10:23:00","10:23:00","804","9","","0","0","","1"
"27321138U","11:32:00","11:32:00","804","9","","0","0","","1"
"27321139U","12:41:00","12:41:00","804","9","","0","0","","1"
"27321140U","13:48:00","13:48:00","804","9","","0","0","","1"
"27321141U","14:55:00","14:55:00","804","9","","0","0","","1"
"27321142U","16:04:00","16:04:00","804","9","","0","0","","1"
"27321143U","17:15:00","17:15:00","804","9","","0","0","","1"
"27321144U","18:33:00","18:33:00","804","9","","0","0","","1"
"27321145U","19:53:00","19:53:00","804","9","","0","0","","1"
"27321157U","17:40:00","17:40:00","804","9","","0","0","","1"
"27321158U","09:32:00","09:32:00","804","9","","0","0","","1"
"27321159U","10:42:00","10:42:00","804","9","","0","0","","1"
"27321160U","11:49:00","11:49:00","804","9","","0","0","","1"
"27321161U","13:05:00","13:05:00","804","9","","0","0","","1"
"27321162U","14:12:00","14:12:00","804","9","","0","0","","1"
"27321163U","15:20:00","15:20:00","804","9","","0","0","","1"
"27321164U","16:29:00","16:29:00","804","9","","0","0","","1"
"27321165U","18:52:00","18:52:00","804","9","","0","0","","1"
"27321166U","20:12:00","20:12:00","804","9","","0","0","","1"
"27321174U","10:00:00","10:00:00","804","9","","0","0","","1"
"27321175U","11:07:00","11:07:00","804","9","","0","0","","1"
"27321176U","12:14:00","12:14:00","804","9","","0","0","","1"
"27321177U","13:22:00","13:22:00","804","9","","0","0","","1"
"27321178U","14:29:00","14:29:00","804","9","","0","0","","1"
"27321179U","15:45:00","15:45:00","804","9","","0","0","","1"
"27321180U","16:55:00","16:55:00","804","9","","0","0","","1"
"27321181U","18:06:00","18:06:00","804","9","","0","0","","1"
"27321182U","19:37:00","19:37:00","804","9","","0","0","","1"
"27321646U","09:32:00","09:32:00","804","9","","0","0","","1"
"27321647U","10:42:00","10:42:00","804","9","","0","0","","1"
"27321648U","11:49:00","11:49:00","804","9","","0","0","","1"
"27321649U","13:05:00","13:05:00","804","9","","0","0","","1"
"27321650U","14:12:00","14:12:00","804","9","","0","0","","1"
"27321651U","15:20:00","15:20:00","804","9","","0","0","","1"
"27321652U","16:29:00","16:29:00","804","9","","0","0","","1"
"27321653U","17:40:00","17:40:00","804","9","","0","0","","1"
"27321654U","18:52:00","18:52:00","804","9","","0","0","","1"
"27321655U","20:12:00","20:12:00","804","9","","0","0","","1"
"27321665U","16:04:00","16:04:00","804","9","","0","0","","1"
"27321666U","17:15:00","17:15:00","804","9","","0","0","","1"
"27321667U","18:33:00","18:33:00","804","9","","0","0","","1"
"27321668U","19:53:00","19:53:00","804","9","","0","0","","1"
"27321669U","09:16:00","09:16:00","804","9","","0","0","","1"
"27321670U","10:23:00","10:23:00","804","9","","0","0","","1"
"27321671U","11:32:00","11:32:00","804","9","","0","0","","1"
"27321672U","12:41:00","12:41:00","804","9","","0","0","","1"
"27321673U","13:48:00","13:48:00","804","9","","0","0","","1"
"27321674U","14:55:00","14:55:00","804","9","","0","0","","1"
"27321684U","10:00:00","10:00:00","804","9","","0","0","","1"
"27321685U","11:07:00","11:07:00","804","9","","0","0","","1"
"27321686U","12:14:00","12:14:00","804","9","","0","0","","1"
"27321687U","13:22:00","13:22:00","804","9","","0","0","","1"
"27321688U","14:29:00","14:29:00","804","9","","0","0","","1"
"27321689U","15:45:00","15:45:00","804","9","","0","0","","1"
"27321690U","16:55:00","16:55:00","804","9","","0","0","","1"
"27321691U","18:06:00","18:06:00","804","9","","0","0","","1"
"27321692U","19:37:00","19:37:00","804","9","","0","0","","1"
"27321733U","10:08:00","10:08:00","804","9","","0","0","","1"
"27321734U","11:16:00","11:16:00","804","9","","0","0","","1"
"27321783U","09:28:00","09:28:00","804","9","","0","0","","1"
"27321784U","10:32:00","10:32:00","804","9","","0","0","","1"
"27321785U","11:38:00","11:38:00","804","9","","0","0","","1"
"27321786U","12:44:00","12:44:00","804","9","","0","0","","1"
"27321787U","13:50:00","13:50:00","804","9","","0","0","","1"
"27321788U","14:56:00","14:56:00","804","9","","0","0","","1"
"27321789U","16:02:00","16:02:00","804","9","","0","0","","1"
"27321790U","17:08:00","17:08:00","804","9","","0","0","","1"
"27321816U","19:03:00","19:03:00","804","9","","0","0","","1"
"27321819U","12:20:00","12:20:00","804","9","","0","0","","1"
"27321820U","13:28:00","13:28:00","804","9","","0","0","","1"
"27321821U","14:34:00","14:34:00","804","9","","0","0","","1"
"27321822U","15:41:00","15:41:00","804","9","","0","0","","1"
"27321823U","16:46:00","16:46:00","804","9","","0","0","","1"
"27321824U","17:50:00","17:50:00","804","9","","0","0","","1"
"27321838U","18:14:00","18:14:00","804","9","","0","0","","1"
"27321841U","14:12:00","14:12:00","804","9","","0","0","","1"
"27321842U","15:18:00","15:18:00","804","9","","0","0","","1"
"27321843U","16:24:00","16:24:00","804","9","","0","0","","1"
"27321844U","17:30:00","17:30:00","804","9","","0","0","","1"
"27321845U","18:42:00","18:42:00","804","9","","0","0","","1"
"27321846U","09:51:00","09:51:00","804","9","","0","0","","1"
"27321847U","10:54:00","10:54:00","804","9","","0","0","","1"
"27321848U","12:00:00","12:00:00","804","9","","0","0","","1"
"27321849U","13:06:00","13:06:00","804","9","","0","0","","1"
"27331275U","09:31:00","09:31:00","804","9","","0","0","","1"
"27331276U","10:47:00","10:47:00","804","9","","0","0","","1"
"27331277U","11:57:00","11:57:00","804","9","","0","0","","1"
"27331278U","13:10:00","13:10:00","804","9","","0","0","","1"
"27331279U","14:16:00","14:16:00","804","9","","0","0","","1"
"27331280U","15:28:00","15:28:00","804","9","","0","0","","1"
"27331281U","16:42:00","16:42:00","804","9","","0","0","","1"
"27331282U","18:02:00","18:02:00","804","9","","0","0","","1"
"27331322U","09:07:00","09:07:00","804","9","","0","0","","1"
"27331323U","10:17:00","10:17:00","804","9","","0","0","","1"
"27331324U","11:32:00","11:32:00","804","9","","0","0","","1"
"27331325U","12:45:00","12:45:00","804","9","","0","0","","1"
"27331326U","13:52:00","13:52:00","804","9","","0","0","","1"
"27331327U","15:04:00","15:04:00","804","9","","0","0","","1"
"27331328U","16:17:00","16:17:00","804","9","","0","0","","1"
"27331329U","17:43:00","17:43:00","804","9","","0","0","","1"
"27331330U","19:05:00","19:05:00","804","9","","0","0","","1"
"27331346U","09:55:00","09:55:00","804","9","","0","0","","1"
"27331347U","11:10:00","11:10:00","804","9","","0","0","","1"
"27331348U","12:21:00","12:21:00","804","9","","0","0","","1"
"27331349U","13:35:00","13:35:00","804","9","","0","0","","1"
"27331350U","14:40:00","14:40:00","804","9","","0","0","","1"
"27331351U","15:52:00","15:52:00","804","9","","0","0","","1"
"27331352U","17:06:00","17:06:00","804","9","","0","0","","1"
"27331353U","18:29:00","18:29:00","804","9","","0","0","","1"
"27331378U","17:31:00","17:31:00","804","9","","0","0","","1"
"27331379U","18:48:00","18:48:00","804","9","","0","0","","1"
"27340722U","10:08:00","10:08:00","804","9","","0","0","","1"
"27340723U","11:16:00","11:16:00","804","9","","0","0","","1"
"27340724U","12:20:00","12:20:00","804","9","","0","0","","1"
"27340725U","13:28:00","13:28:00","804","9","","0","0","","1"
"27340726U","14:34:00","14:34:00","804","9","","0","0","","1"
"27340750U","19:03:00","19:03:00","804","9","","0","0","","1"
"27340798U","09:28:00","09:28:00","804","9","","0","0","","1"
"27340799U","10:32:00","10:32:00","804","9","","0","0","","1"
"27340806U","15:41:00","15:41:00","804","9","","0","0","","1"
"27340807U","16:46:00","16:46:00","804","9","","0","0","","1"
"27340808U","17:50:00","17:50:00","804","9","","0","0","","1"
"27340815U","09:51:00","09:51:00","804","9","","0","0","","1"
"27340816U","10:54:00","10:54:00","804","9","","0","0","","1"
"27340817U","12:00:00","12:00:00","804","9","","0","0","","1"
"27340818U","13:06:00","13:06:00","804","9","","0","0","","1"
"27340819U","14:12:00","14:12:00","804","9","","0","0","","1"
"27340820U","15:18:00","15:18:00","804","9","","0","0","","1"
"27340821U","16:24:00","16:24:00","804","9","","0","0","","1"
"27340822U","17:30:00","17:30:00","804","9","","0","0","","1"
"27340823U","18:42:00","18:42:00","804","9","","0","0","","1"
"27340835U","11:38:00","11:38:00","804","9","","0","0","","1"
"27340836U","12:44:00","12:44:00","804","9","","0","0","","1"
"27340837U","13:50:00","13:50:00","804","9","","0","0","","1"
"27340838U","14:56:00","14:56:00","804","9","","0","0","","1"
"27340839U","16:02:00","16:02:00","804","9","","0","0","","1"
"27340840U","17:08:00","17:08:00","804","9","","0","0","","1"
"27340841U","18:14:00","18:14:00","804","9","","0","0","","1"
"27357623U","10:08:00","10:08:00","804","9","","0","0","","1"
"27357624U","11:16:00","11:16:00","804","9","","0","0","","1"
"27357625U","12:20:00","12:20:00","804","9","","0","0","","1"
"27357626U","13:28:00","13:28:00","804","9","","0","0","","1"
"27357627U","14:34:00","14:34:00","804","9","","0","0","","1"
"27357651U","19:03:00","19:03:00","804","9","","0","0","","1"
"27357699U","09:28:00","09:28:00","804","9","","0","0","","1"
"27357700U","10:32:00","10:32:00","804","9","","0","0","","1"
"27357707U","15:41:00","15:41:00","804","9","","0","0","","1"
"27357708U","16:46:00","16:46:00","804","9","","0","0","","1"
"27357709U","17:50:00","17:50:00","804","9","","0","0","","1"
"27357716U","09:51:00","09:51:00","804","9","","0","0","","1"
"27357717U","10:54:00","10:54:00","804","9","","0","0","","1"
"27357718U","12:00:00","12:00:00","804","9","","0","0","","1"
"27357719U","13:06:00","13:06:00","804","9","","0","0","","1"
"27357720U","14:12:00","14:12:00","804","9","","0","0","","1"
"27357721U","15:18:00","15:18:00","804","9","","0","0","","1"
"27357722U","16:24:00","16:24:00","804","9","","0","0","","1"
"27357723U","17:30:00","17:30:00","804","9","","0","0","","1"
"27357724U","18:42:00","18:42:00","804","9","","0","0","","1"
"27357736U","11:38:00","11:38:00","804","9","","0","0","","1"
"27357737U","12:44:00","12:44:00","804","9","","0","0","","1"
"27357738U","13:50:00","13:50:00","804","9","","0","0","","1"
"27357739U","14:56:00","14:56:00","804","9","","0","0","","1"
"27357740U","16:02:00","16:02:00","804","9","","0","0","","1"
"27357741U","17:08:00","17:08:00","804","9","","0","0","","1"
"27357742U","18:14:00","18:14:00","804","9","","0","0","","1"
"27295571U","17:43:00","17:43:00","804","9","","0","0","","1"
"27295572U","19:22:00","19:22:00","804","9","","0","0","","1"
"27295573U","21:11:00","21:11:00","804","9","","0","0","","1"
"27295574U","22:41:00","22:41:00","804","9","","0","0","","1"
"27295575U","24:11:00","24:11:00","804","9","","0","0","","1"
"27295581U","16:42:00","16:42:00","804","9","","0","0","","1"
"27295582U","18:13:00","18:13:00","804","9","","0","0","","1"
"27295583U","19:55:00","19:55:00","804","9","","0","0","","1"
"27295587U","12:41:00","12:41:00","804","9","","0","0","","1"
"27295588U","14:12:00","14:12:00","804","9","","0","0","","1"
"27295589U","15:42:00","15:42:00","804","9","","0","0","","1"
"27295590U","17:13:00","17:13:00","804","9","","0","0","","1"
"27295596U","10:11:00","10:11:00","804","9","","0","0","","1"
"27295597U","11:43:00","11:43:00","804","9","","0","0","","1"
"27295598U","13:11:00","13:11:00","804","9","","0","0","","1"
"27295599U","14:42:00","14:42:00","804","9","","0","0","","1"
"27295600U","16:12:00","16:12:00","804","9","","0","0","","1"
"27295601U","07:08:00","07:08:00","804","9","","0","0","","1"
"27295602U","08:41:00","08:41:00","804","9","","0","0","","1"
"27295610U","18:48:00","18:48:00","804","9","","0","0","","1"
"27295611U","20:27:00","20:27:00","804","9","","0","0","","1"
"27295612U","21:56:00","21:56:00","804","9","","0","0","","1"
"27295613U","23:26:00","23:26:00","804","9","","0","0","","1"
"27295625U","06:08:00","06:08:00","804","9","","0","0","","1"
"27295626U","07:38:00","07:38:00","804","9","","0","0","","1"
"27295627U","09:11:00","09:11:00","804","9","","0","0","","1"
"27295628U","10:41:00","10:41:00","804","9","","0","0","","1"
