"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"27294742U","06:23:32","06:23:32","1060","24","","0","0","","0"
"27294743U","07:44:32","07:44:32","1060","24","","0","0","","0"
"27294744U","09:05:35","09:05:35","1060","24","","0","0","","0"
"27294745U","10:29:35","10:29:35","1060","24","","0","0","","0"
"27294746U","11:53:35","11:53:35","1060","24","","0","0","","0"
"27294747U","13:15:35","13:15:35","1060","24","","0","0","","0"
"27294748U","14:42:38","14:42:38","1060","24","","0","0","","0"
"27294749U","12:35:35","12:35:35","1060","24","","0","0","","0"
"27294750U","13:57:38","13:57:38","1060","24","","0","0","","0"
"27294751U","15:29:38","15:29:38","1060","24","","0","0","","0"
"27294752U","17:01:38","17:01:38","1060","24","","0","0","","0"
"27294753U","18:33:38","18:33:38","1060","24","","0","0","","0"
"27294754U","20:04:32","20:04:32","1060","24","","0","0","","0"
"27294762U","09:47:35","09:47:35","1060","24","","0","0","","0"
"27294763U","11:11:35","11:11:35","1060","24","","0","0","","0"
"27294770U","07:03:32","07:03:32","1060","24","","0","0","","0"
"27294771U","08:24:32","08:24:32","1060","24","","0","0","","0"
"27294772U","16:14:38","16:14:38","1060","24","","0","0","","0"
"27294773U","17:46:38","17:46:38","1060","24","","0","0","","0"
"27294774U","19:18:38","19:18:38","1060","24","","0","0","","0"
"27294775U","20:45:32","20:45:32","1060","24","","0","0","","0"
"27310496U","05:40:32","05:40:32","1060","24","","0","0","","0"
"27310497U","07:26:35","07:26:35","1060","24","","0","0","","0"
"27310498U","09:21:35","09:21:35","1060","24","","0","0","","0"
"27310499U","11:28:35","11:28:35","1060","24","","0","0","","0"
"27310500U","13:17:35","13:17:35","1060","24","","0","0","","0"
"27310506U","07:59:35","07:59:35","1060","24","","0","0","","0"
"27310507U","09:48:35","09:48:35","1060","24","","0","0","","0"
"27310510U","06:15:32","06:15:32","1060","24","","0","0","","0"
"27310511U","08:27:35","08:27:35","1060","24","","0","0","","0"
"27310512U","10:16:35","10:16:35","1060","24","","0","0","","0"
"27310513U","12:05:35","12:05:35","1060","24","","0","0","","0"
"27310518U","13:54:35","13:54:35","1060","24","","0","0","","0"
"27310519U","15:43:41","15:43:41","1060","24","","0","0","","0"
"27310520U","17:36:41","17:36:41","1060","24","","0","0","","0"
"27310521U","19:29:35","19:29:35","1060","24","","0","0","","0"
"27310522U","21:12:32","21:12:32","1060","24","","0","0","","0"
"27310528U","14:30:35","14:30:35","1060","24","","0","0","","0"
"27310529U","16:21:41","16:21:41","1060","24","","0","0","","0"
"27310530U","18:14:41","18:14:41","1060","24","","0","0","","0"
"27310531U","20:05:32","20:05:32","1060","24","","0","0","","0"
"27310537U","15:06:41","15:06:41","1060","24","","0","0","","0"
"27310538U","16:59:41","16:59:41","1060","24","","0","0","","0"
"27310539U","18:52:38","18:52:38","1060","24","","0","0","","0"
"27310540U","20:36:32","20:36:32","1060","24","","0","0","","0"
"27310545U","10:52:35","10:52:35","1060","24","","0","0","","0"
"27310546U","12:41:35","12:41:35","1060","24","","0","0","","0"
"27310547U","06:47:32","06:47:32","1060","24","","0","0","","0"
"27310548U","08:55:35","08:55:35","1060","24","","0","0","","0"
"27310825U","05:40:32","05:40:32","1060","24","","0","0","","0"
"27310826U","07:22:35","07:22:35","1060","24","","0","0","","0"
"27310827U","09:06:35","09:06:35","1060","24","","0","0","","0"
"27310828U","10:57:35","10:57:35","1060","24","","0","0","","0"
"27310829U","12:47:35","12:47:35","1060","24","","0","0","","0"
"27310835U","06:15:32","06:15:32","1060","24","","0","0","","0"
"27310836U","07:56:35","07:56:35","1060","24","","0","0","","0"
"27310837U","09:42:35","09:42:35","1060","24","","0","0","","0"
"27310838U","11:33:35","11:33:35","1060","24","","0","0","","0"
"27310843U","06:47:32","06:47:32","1060","24","","0","0","","0"
"27310844U","08:31:35","08:31:35","1060","24","","0","0","","0"
"27310845U","10:19:35","10:19:35","1060","24","","0","0","","0"
"27310846U","12:10:35","12:10:35","1060","24","","0","0","","0"
"27310851U","14:38:35","14:38:35","1060","24","","0","0","","0"
"27310852U","16:31:38","16:31:38","1060","24","","0","0","","0"
"27310853U","18:25:38","18:25:38","1060","24","","0","0","","0"
"27310854U","20:16:32","20:16:32","1060","24","","0","0","","0"
"27310860U","13:24:35","13:24:35","1060","24","","0","0","","0"
"27310861U","15:16:38","15:16:38","1060","24","","0","0","","0"
"27310862U","17:09:38","17:09:38","1060","24","","0","0","","0"
"27310863U","19:03:35","19:03:35","1060","24","","0","0","","0"
"27310864U","20:49:32","20:49:32","1060","24","","0","0","","0"
"27310870U","14:01:35","14:01:35","1060","24","","0","0","","0"
"27310871U","15:53:38","15:53:38","1060","24","","0","0","","0"
"27310872U","17:47:38","17:47:38","1060","24","","0","0","","0"
"27310873U","19:40:35","19:40:35","1060","24","","0","0","","0"
"27310874U","21:22:32","21:22:32","1060","24","","0","0","","0"
"27329398U","05:36:32","05:36:32","1060","24","","0","0","","0"
"27329399U","07:08:50","07:08:50","1060","24","","0","0","","0"
"27329400U","09:06:38","09:06:38","1060","24","","0","0","","0"
"27329404U","15:47:47","15:47:47","1060","24","","0","0","","0"
"27329405U","17:47:47","17:47:47","1060","24","","0","0","","0"
"27329406U","19:44:38","19:44:38","1060","24","","0","0","","0"
"27329411U","07:29:50","07:29:50","1060","24","","0","0","","0"
"27329412U","09:20:38","09:20:38","1060","24","","0","0","","0"
"27329413U","11:10:38","11:10:38","1060","24","","0","0","","0"
"27329414U","12:56:41","12:56:41","1060","24","","0","0","","0"
"27329415U","14:50:41","14:50:41","1060","24","","0","0","","0"
"27329416U","16:47:47","16:47:47","1060","24","","0","0","","0"
"27329423U","07:42:50","07:42:50","1060","24","","0","0","","0"
"27329424U","09:36:38","09:36:38","1060","24","","0","0","","0"
"27329427U","06:11:32","06:11:32","1060","24","","0","0","","0"
"27329428U","08:00:50","08:00:50","1060","24","","0","0","","0"
"27329429U","09:55:38","09:55:38","1060","24","","0","0","","0"
"27329430U","11:36:38","11:36:38","1060","24","","0","0","","0"
"27329431U","13:24:41","13:24:41","1060","24","","0","0","","0"
"27329432U","15:22:47","15:22:47","1060","24","","0","0","","0"
"27329439U","08:18:50","08:18:50","1060","24","","0","0","","0"
"27329440U","10:13:38","10:13:38","1060","24","","0","0","","0"
"27329441U","12:02:41","12:02:41","1060","24","","0","0","","0"
"27329442U","13:51:41","13:51:41","1060","24","","0","0","","0"
"27329448U","06:41:32","06:41:32","1060","24","","0","0","","0"
"27329449U","08:34:50","08:34:50","1060","24","","0","0","","0"
"27329450U","10:28:38","10:28:38","1060","24","","0","0","","0"
"27329454U","08:50:44","08:50:44","1060","24","","0","0","","0"
"27329455U","10:44:38","10:44:38","1060","24","","0","0","","0"
"27329456U","12:29:41","12:29:41","1060","24","","0","0","","0"
"27329457U","14:22:41","14:22:41","1060","24","","0","0","","0"
"27329462U","17:18:47","17:18:47","1060","24","","0","0","","0"
"27329463U","19:15:38","19:15:38","1060","24","","0","0","","0"
"27329464U","21:09:32","21:09:32","1060","24","","0","0","","0"
"27329468U","18:47:44","18:47:44","1060","24","","0","0","","0"
"27329469U","20:39:32","20:39:32","1060","24","","0","0","","0"
"27329472U","18:17:47","18:17:47","1060","24","","0","0","","0"
"27329473U","20:09:32","20:09:32","1060","24","","0","0","","0"
"27329474U","16:17:47","16:17:47","1060","24","","0","0","","0"
"27339242U","05:36:32","05:36:32","1060","24","","0","0","","0"
"27339243U","07:07:35","07:07:35","1060","24","","0","0","","0"
"27339244U","08:40:35","08:40:35","1060","24","","0","0","","0"
"27339245U","10:39:38","10:39:38","1060","24","","0","0","","0"
"27339250U","07:31:35","07:31:35","1060","24","","0","0","","0"
"27339251U","09:04:38","09:04:38","1060","24","","0","0","","0"
"27339254U","06:11:32","06:11:32","1060","24","","0","0","","0"
"27339255U","07:54:35","07:54:35","1060","24","","0","0","","0"
"27339258U","06:41:32","06:41:32","1060","24","","0","0","","0"
"27339259U","08:17:35","08:17:35","1060","24","","0","0","","0"
"27339260U","10:05:38","10:05:38","1060","24","","0","0","","0"
"27339261U","11:47:38","11:47:38","1060","24","","0","0","","0"
"27339262U","13:27:38","13:27:38","1060","24","","0","0","","0"
"27339263U","15:07:38","15:07:38","1060","24","","0","0","","0"
"27339264U","16:50:38","16:50:38","1060","24","","0","0","","0"
"27339272U","17:24:38","17:24:38","1060","24","","0","0","","0"
"27339273U","19:12:38","19:12:38","1060","24","","0","0","","0"
"27339274U","20:51:32","20:51:32","1060","24","","0","0","","0"
"27339278U","12:19:38","12:19:38","1060","24","","0","0","","0"
"27339279U","14:01:38","14:01:38","1060","24","","0","0","","0"
