"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"1950223E","23:48:00","23:48:00","5452","40","","0","0","","1"
"1950275E","07:58:00","07:58:00","5452","1","","0","0","","1"
"1950276E","08:58:00","08:58:00","5452","1","","0","0","","1"
"1950277E","09:58:00","09:58:00","5452","1","","0","0","","1"
"1950278E","11:58:00","11:58:00","5452","1","","0","0","","1"
"1950279E","13:58:00","13:58:00","5452","1","","0","0","","1"
"1950280E","15:58:00","15:58:00","5452","1","","0","0","","1"
"1950281E","17:58:00","17:58:00","5452","1","","0","0","","1"
"1950282E","18:58:00","18:58:00","5452","1","","0","0","","1"
"1950283E","19:58:00","19:58:00","5452","1","","0","0","","1"
"1952183E","14:53:00","14:53:00","5452","1","","0","0","","1"
"1950307E","06:09:00","06:09:00","5452","7","","0","0","","1"
"1950308E","07:09:00","07:09:00","5452","7","","0","0","","1"
"1950309E","08:09:00","08:09:00","5452","7","","0","0","","1"
"1950310E","09:09:00","09:09:00","5452","7","","0","0","","1"
"1950311E","10:09:00","10:09:00","5452","7","","0","0","","1"
"1950312E","13:09:00","13:09:00","5452","7","","0","0","","1"
"1950313E","14:09:00","14:09:00","5452","7","","0","0","","1"
"1950314E","15:09:00","15:09:00","5452","7","","0","0","","1"
"1950315E","16:09:00","16:09:00","5452","7","","0","0","","1"
"1950316E","17:09:00","17:09:00","5452","7","","0","0","","1"
"1950317E","18:09:00","18:09:00","5452","7","","0","0","","1"
"1950318E","19:09:00","19:09:00","5452","7","","0","0","","1"
"1950319E","20:09:00","20:09:00","5452","7","","0","0","","1"
"1950323E","11:12:00","11:12:00","5452","7","","0","0","","1"
"1950325E","12:12:00","12:12:00","5452","7","","0","0","","1"
"1950465E","10:19:00","10:19:00","5452","1","","0","0","","1"
"1950466E","20:19:00","20:19:00","5452","1","","0","0","","1"
"1950467E","16:19:00","16:19:00","5452","1","","0","0","","1"
"1950468E","08:19:00","08:19:00","5452","1","","0","0","","1"
"1950471E","19:19:00","19:19:00","5452","1","","0","0","","1"
"1950475E","14:19:00","14:19:00","5452","1","","0","0","","1"
"1950476E","12:19:00","12:19:00","5452","1","","0","0","","1"
"1950480E","18:19:00","18:19:00","5452","1","","0","0","","1"
"1950482E","09:19:00","09:19:00","5452","1","","0","0","","1"
"1950547E","07:51:00","07:51:00","5452","9","","0","0","","1"
"1950548E","08:51:00","08:51:00","5452","9","","0","0","","1"
"1950549E","09:51:00","09:51:00","5452","9","","0","0","","1"
"1950550E","10:51:00","10:51:00","5452","9","","0","0","","1"
"1950551E","11:51:00","11:51:00","5452","9","","0","0","","1"
"1950552E","12:51:00","12:51:00","5452","9","","0","0","","1"
"1950553E","13:51:00","13:51:00","5452","9","","0","0","","1"
"1950554E","14:51:00","14:51:00","5452","9","","0","0","","1"
"1950555E","15:51:00","15:51:00","5452","9","","0","0","","1"
"1950556E","16:51:00","16:51:00","5452","9","","0","0","","1"
"1950557E","17:51:00","17:51:00","5452","9","","0","0","","1"
"1950558E","18:51:00","18:51:00","5452","9","","0","0","","1"
"1950559E","19:51:00","19:51:00","5452","9","","0","0","","1"
"1950560E","20:51:00","20:51:00","5452","9","","0","0","","1"
